,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc23025,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.26,0.26,5
Doc23026,0.02,0.02,0.02,0.21,0.46,0.02,0.02,0.22,0.02,0.02,4
Doc23027,0.14,0.01,0.26,0.01,0.14,0.14,0.01,0.01,0.26,0.01,2
Doc23028,0.02,0.02,0.26,0.02,0.32,0.28,0.02,0.02,0.02,0.02,4
Doc23029,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc23030,0.01,0.12,0.12,0.44,0.01,0.12,0.14,0.01,0.01,0.01,3
Doc23031,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc23032,0.1,0.18,0.19,0.1,0.01,0.11,0.01,0.19,0.1,0.01,2
Doc23033,0.01,0.01,0.01,0.01,0.31,0.01,0.18,0.16,0.14,0.15,4
Doc23034,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.62,0.02,8
Doc23035,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc23036,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0
Doc23037,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc23038,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc23039,0.09,0.09,0.19,0.17,0.24,0.09,0.01,0.01,0.09,0.01,4
Doc23040,0.02,0.34,0.3,0.02,0.02,0.22,0.02,0.02,0.02,0.02,1
Doc23041,0.22,0.22,0.02,0.22,0.02,0.02,0.22,0.02,0.02,0.02,0
Doc23042,0.18,0.18,0.02,0.18,0.02,0.02,0.18,0.18,0.02,0.02,0
Doc23043,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
Doc23044,0.25,0.37,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0.02,1
Doc23045,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc23046,0.09,0.01,0.09,0.01,0.09,0.09,0.42,0.09,0.09,0.01,6
Doc23047,0.01,0.01,0.01,0.01,0.01,0.21,0.31,0.11,0.01,0.31,6
Doc23048,0.17,0.01,0.1,0.01,0.1,0.01,0.16,0.01,0.09,0.34,9
Doc23049,0.27,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc23050,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc23051,0.01,0.01,0.33,0.01,0.17,0.27,0.01,0.01,0.01,0.16,2
Doc23052,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc23053,0.16,0.01,0.01,0.01,0.01,0.01,0.3,0.3,0.01,0.16,6
Doc23054,0.02,0.33,0.02,0.18,0.02,0.02,0.02,0.02,0.18,0.21,1
Doc23055,0.01,0.14,0.01,0.01,0.01,0.46,0.19,0.01,0.14,0.01,5
Doc23056,0.19,0.17,0.01,0.19,0.12,0.01,0.1,0.01,0.1,0.1,0
Doc23057,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.28,0.03,4
Doc23058,0.02,0.02,0.21,0.02,0.02,0.02,0.29,0.02,0.18,0.22,6
Doc23059,0.02,0.02,0.02,0.02,0.43,0.02,0.02,0.18,0.02,0.27,4
Doc23060,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.28,0.03,8
Doc23061,0.01,0.01,0.01,0.17,0.01,0.01,0.4,0.17,0.01,0.17,6
Doc23062,0.22,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,4
Doc23063,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.14,0.49,9
Doc23064,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc23065,0.07,0.01,0.01,0.01,0.35,0.15,0.01,0.15,0.08,0.17,4
Doc23066,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.22,0.22,0.02,2
Doc23067,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.22,0.22,3
Doc23068,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.42,0.02,8
Doc23069,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.45,9
Doc23070,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.22,0.02,0
