,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc296,0.02,0.02,0.02,0.02,0.02,0.65,0.22,0.02,0.02,0.02,5
Doc297,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc298,0.46,0.12,0.12,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0
Doc299,0.02,0.4,0.24,0.02,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc300,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,9
Doc301,0.27,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,4
Doc302,0.14,0.01,0.01,0.46,0.17,0.01,0.01,0.16,0.01,0.01,3
Doc303,0.21,0.01,0.01,0.01,0.01,0.24,0.01,0.48,0.01,0.01,7
Doc304,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,0.03,0.03,4
Doc305,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.16,0.59,9
Doc306,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.53,0.12,0.01,7
Doc307,0.01,0.25,0.21,0.01,0.01,0.01,0.01,0.16,0.3,0.01,8
Doc308,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc309,0.02,0.02,0.02,0.41,0.45,0.02,0.02,0.02,0.02,0.02,4
Doc310,0.03,0.03,0.03,0.03,0.28,0.28,0.03,0.03,0.03,0.27,4
Doc311,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc312,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.28,0.03,4
Doc313,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.22,6
Doc314,0.03,0.03,0.03,0.28,0.03,0.52,0.03,0.03,0.03,0.03,5
Doc315,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc316,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc317,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,6
Doc318,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.18,0.02,0.02,4
Doc319,0.03,0.52,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc320,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,8
Doc321,0.53,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc322,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.22,0.02,7
Doc323,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.02,1
Doc324,0.18,0.02,0.52,0.02,0.02,0.18,0.02,0.02,0.02,0.02,2
Doc325,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc326,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc327,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc328,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc329,0.02,0.02,0.22,0.02,0.65,0.02,0.02,0.02,0.02,0.02,4
Doc330,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc331,0.11,0.01,0.01,0.01,0.01,0.01,0.59,0.22,0.01,0.01,6
Doc332,0.01,0.01,0.26,0.01,0.14,0.01,0.01,0.39,0.14,0.01,7
Doc333,0.02,0.18,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,6
Doc334,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.14,0.01,0.01,2
Doc335,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.55,9
Doc336,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
Doc337,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc338,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.23,0.01,7
Doc339,0.01,0.59,0.01,0.01,0.01,0.16,0.16,0.01,0.01,0.01,1
Doc340,0.01,0.01,0.01,0.14,0.01,0.01,0.14,0.14,0.01,0.51,9
Doc341,0.01,0.01,0.08,0.39,0.01,0.24,0.24,0.01,0.01,0.01,3
Doc342,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc343,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc344,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0
Doc345,0.23,0.23,0.01,0.01,0.01,0.01,0.15,0.01,0.33,0.01,8
Doc346,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.62,0.02,8
Doc347,0.28,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc348,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
Doc349,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.42,9
Doc350,0.01,0.31,0.01,0.01,0.01,0.18,0.42,0.01,0.01,0.01,6
Doc351,0.01,0.01,0.01,0.34,0.01,0.14,0.31,0.14,0.01,0.01,3
Doc352,0.01,0.12,0.26,0.54,0.01,0.01,0.01,0.01,0.01,0.01,3
Doc353,0.01,0.01,0.39,0.01,0.29,0.26,0.01,0.01,0.01,0.01,2
Doc354,0.02,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.44,9
Doc355,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc356,0.01,0.11,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.41,3
Doc357,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc358,0.01,0.01,0.01,0.35,0.19,0.18,0.01,0.19,0.01,0.01,3
Doc359,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc360,0.27,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc361,0.01,0.01,0.1,0.01,0.01,0.01,0.14,0.08,0.57,0.08,8
Doc362,0.22,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.22,0
Doc363,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc364,0.03,0.28,0.03,0.27,0.03,0.03,0.03,0.28,0.03,0.03,1
Doc365,0.01,0.13,0.01,0.28,0.01,0.17,0.22,0.16,0.01,0.01,3
Doc366,0.01,0.01,0.01,0.01,0.41,0.01,0.3,0.01,0.19,0.01,4
Doc367,0.42,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.02,0
Doc368,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc369,0.01,0.11,0.01,0.18,0.21,0.01,0.21,0.01,0.24,0.01,8
Doc370,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc371,0.02,0.42,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc372,0.08,0.01,0.01,0.01,0.4,0.01,0.01,0.39,0.08,0.01,4
Doc373,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc374,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc375,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.11,0.12,3
Doc376,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc377,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.11,0.71,0.01,8
Doc378,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc379,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,4
Doc380,0.02,0.02,0.02,0.02,0.02,0.24,0.6,0.02,0.02,0.02,6
Doc381,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc382,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc383,0.01,0.01,0.01,0.01,0.2,0.37,0.01,0.19,0.16,0.01,5
Doc384,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.22,0
Doc385,0.01,0.11,0.01,0.47,0.15,0.01,0.01,0.01,0.21,0.01,3
Doc386,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc387,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc388,0.01,0.01,0.01,0.01,0.18,0.01,0.39,0.34,0.01,0.01,6
Doc389,0.12,0.01,0.01,0.23,0.01,0.01,0.01,0.34,0.01,0.23,7
Doc390,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.35,8
Doc391,0.02,0.68,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0.02,1
Doc392,0.01,0.01,0.11,0.01,0.01,0.01,0.31,0.01,0.51,0.01,8
Doc393,0.01,0.01,0.01,0.65,0.2,0.1,0.01,0.01,0.01,0.01,3
Doc394,0.51,0.09,0.01,0.01,0.17,0.01,0.09,0.01,0.01,0.09,0
Doc395,0.68,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0
Doc396,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc397,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc398,0.02,0.02,0.18,0.68,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc399,0.03,0.49,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.31,1
Doc400,0.35,0.02,0.02,0.02,0.27,0.02,0.02,0.26,0.02,0.02,0
Doc401,0.1,0.1,0.01,0.01,0.11,0.42,0.01,0.22,0.01,0.01,5
Doc402,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc403,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc404,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.18,0.02,4
Doc405,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc406,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc407,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc408,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc409,0.02,0.02,0.02,0.02,0.02,0.02,0.32,0.02,0.02,0.52,9
Doc410,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.67,9
Doc411,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc412,0.02,0.02,0.22,0.23,0.27,0.02,0.02,0.02,0.18,0.02,4
Doc413,0.18,0.18,0.02,0.26,0.02,0.27,0.02,0.02,0.02,0.02,5
Doc414,0.01,0.57,0.01,0.01,0.12,0.01,0.12,0.01,0.12,0.01,1
Doc415,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc416,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc417,0.01,0.01,0.16,0.59,0.01,0.16,0.01,0.01,0.01,0.01,3
Doc418,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc419,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc420,0.01,0.01,0.01,0.01,0.24,0.01,0.51,0.01,0.16,0.01,6
Doc421,0.01,0.01,0.15,0.01,0.22,0.15,0.01,0.29,0.15,0.01,7
Doc422,0.01,0.12,0.01,0.01,0.57,0.01,0.01,0.01,0.23,0.01,4
Doc423,0.23,0.01,0.01,0.28,0.01,0.01,0.01,0.3,0.12,0.01,7
Doc424,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc425,0.01,0.34,0.29,0.01,0.01,0.1,0.01,0.01,0.22,0.01,1
Doc426,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc427,0.02,0.02,0.24,0.02,0.02,0.18,0.02,0.02,0.02,0.46,9
Doc428,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc429,0.02,0.22,0.02,0.02,0.42,0.22,0.02,0.02,0.02,0.02,4
Doc430,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0
Doc431,0.01,0.19,0.01,0.1,0.1,0.01,0.01,0.55,0.01,0.01,7
Doc432,0.21,0.42,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,1
Doc433,0.39,0.16,0.16,0.01,0.08,0.16,0.01,0.01,0.01,0.01,0
Doc434,0.02,0.02,0.02,0.02,0.25,0.02,0.59,0.02,0.02,0.02,6
Doc435,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.44,0.3,0.01,7
Doc436,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc437,0.39,0.16,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc438,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc439,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc440,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.2,6
Doc441,0.18,0.18,0.02,0.02,0.35,0.02,0.02,0.18,0.02,0.02,4
Doc442,0.01,0.6,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.01,1
Doc443,0.02,0.25,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.41,9
Doc444,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0
Doc445,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.34,0.22,0.02,7
Doc446,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc447,0.16,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.16,0.4,9
Doc448,0.32,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.2,3
Doc449,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.27,0.03,0.03,2
Doc450,0.47,0.02,0.02,0.02,0.02,0.23,0.18,0.02,0.02,0.02,0
Doc451,0.14,0.01,0.01,0.3,0.01,0.01,0.01,0.47,0.01,0.01,7
Doc452,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc453,0.01,0.01,0.23,0.15,0.01,0.12,0.42,0.01,0.01,0.01,6
Doc454,0.14,0.01,0.01,0.15,0.01,0.01,0.34,0.3,0.01,0.01,6
Doc455,0.01,0.01,0.13,0.01,0.01,0.01,0.34,0.01,0.01,0.45,9
Doc456,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc457,0.02,0.02,0.02,0.02,0.18,0.52,0.18,0.02,0.02,0.02,5
Doc458,0.02,0.35,0.02,0.02,0.18,0.02,0.18,0.18,0.02,0.02,1
Doc459,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc460,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc461,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc462,0.26,0.01,0.1,0.01,0.1,0.01,0.41,0.01,0.01,0.1,6
Doc463,0.18,0.02,0.18,0.02,0.35,0.02,0.18,0.02,0.02,0.02,4
Doc464,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc465,0.01,0.01,0.71,0.01,0.18,0.01,0.01,0.01,0.01,0.01,2
Doc466,0.01,0.44,0.01,0.01,0.01,0.01,0.21,0.11,0.01,0.18,1
Doc467,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,8
Doc468,0.01,0.14,0.01,0.23,0.17,0.28,0.01,0.01,0.01,0.13,5
Doc469,0.1,0.01,0.12,0.11,0.01,0.32,0.13,0.01,0.1,0.1,5
Doc470,0.01,0.08,0.01,0.38,0.01,0.01,0.41,0.01,0.09,0.01,6
Doc471,0.01,0.01,0.01,0.01,0.13,0.21,0.41,0.01,0.01,0.19,6
Doc472,0.01,0.64,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc473,0.14,0.14,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.14,5
Doc474,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc475,0.02,0.02,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.58,9
Doc476,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc477,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3
Doc478,0.3,0.01,0.01,0.16,0.01,0.01,0.01,0.44,0.01,0.01,7
Doc479,0.01,0.39,0.01,0.14,0.14,0.01,0.01,0.14,0.14,0.01,1
Doc480,0.01,0.25,0.01,0.14,0.14,0.01,0.26,0.01,0.01,0.15,6
Doc481,0.01,0.16,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,6
Doc482,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.81,9
Doc483,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc484,0.01,0.39,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.39,1
Doc485,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc486,0.01,0.76,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,1
Doc487,0.02,0.3,0.54,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc488,0.01,0.26,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc489,0.01,0.23,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.57,9
Doc490,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc491,0.16,0.16,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,5
Doc492,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.51,0.21,8
Doc493,0.01,0.01,0.16,0.01,0.01,0.16,0.01,0.01,0.01,0.59,9
Doc494,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,8
Doc495,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc496,0.01,0.01,0.01,0.14,0.01,0.14,0.39,0.26,0.01,0.01,6
Doc497,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,0.02,0.02,6
Doc498,0.35,0.18,0.02,0.02,0.02,0.02,0.02,0.18,0.18,0.02,0
Doc499,0.01,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.17,0.18,3
Doc500,0.03,0.03,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,6
Doc501,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc502,0.03,0.03,0.27,0.03,0.03,0.28,0.03,0.28,0.03,0.03,5
Doc503,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.27,0.03,1
Doc504,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc505,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc506,0.18,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.55,9
Doc507,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc508,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc509,0.28,0.33,0.01,0.01,0.01,0.01,0.01,0.11,0.11,0.12,1
Doc510,0.13,0.01,0.49,0.01,0.01,0.01,0.01,0.31,0.01,0.01,2
Doc511,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc512,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.35,0.02,0.35,7
Doc513,0.03,0.03,0.36,0.03,0.03,0.44,0.03,0.03,0.03,0.03,5
Doc514,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.73,0.01,8
Doc515,0.02,0.02,0.02,0.02,0.68,0.18,0.02,0.02,0.02,0.02,4
Doc516,0.01,0.01,0.19,0.01,0.39,0.01,0.16,0.01,0.01,0.18,4
Doc517,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc518,0.01,0.01,0.01,0.21,0.01,0.41,0.01,0.01,0.21,0.11,5
Doc519,0.01,0.3,0.01,0.01,0.01,0.01,0.16,0.3,0.16,0.01,1
Doc520,0.02,0.18,0.02,0.02,0.02,0.02,0.18,0.52,0.02,0.02,7
Doc521,0.01,0.01,0.01,0.73,0.01,0.01,0.01,0.16,0.01,0.01,3
Doc522,0.01,0.01,0.3,0.01,0.01,0.01,0.3,0.3,0.01,0.01,2
Doc523,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc524,0.11,0.28,0.01,0.01,0.11,0.34,0.11,0.01,0.01,0.01,5
Doc525,0.02,0.02,0.02,0.2,0.02,0.02,0.48,0.02,0.02,0.2,6
Doc526,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.42,0.02,8
Doc527,0.02,0.22,0.42,0.02,0.02,0.02,0.02,0.02,0.22,0.02,2
Doc528,0.01,0.01,0.01,0.01,0.12,0.01,0.13,0.46,0.01,0.23,7
Doc529,0.03,0.28,0.03,0.03,0.03,0.28,0.03,0.03,0.27,0.03,1
Doc530,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc531,0.01,0.21,0.01,0.01,0.01,0.01,0.24,0.01,0.16,0.3,9
Doc532,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.14,0.01,0.4,9
Doc533,0.01,0.01,0.17,0.15,0.32,0.01,0.01,0.16,0.01,0.13,4
Doc534,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc535,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.22,0.22,2
Doc536,0.13,0.31,0.01,0.14,0.25,0.01,0.01,0.01,0.13,0.01,1
Doc537,0.35,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.37,9
Doc538,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
Doc539,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.37,0.28,0.19,7
Doc540,0.02,0.02,0.02,0.42,0.42,0.02,0.02,0.02,0.02,0.02,3
Doc541,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,1
Doc542,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc543,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.22,3
Doc544,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.42,0.02,8
Doc545,0.21,0.01,0.01,0.01,0.61,0.01,0.11,0.01,0.01,0.01,4
Doc546,0.01,0.01,0.01,0.01,0.2,0.01,0.45,0.01,0.01,0.29,6
Doc547,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,9
Doc548,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc549,0.01,0.12,0.12,0.01,0.46,0.12,0.01,0.01,0.01,0.12,4
Doc550,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.52,9
Doc551,0.02,0.02,0.02,0.02,0.21,0.02,0.47,0.02,0.02,0.2,6
Doc552,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc553,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc554,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.52,0.03,8
Doc555,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc556,0.02,0.18,0.02,0.02,0.02,0.02,0.18,0.35,0.18,0.02,7
Doc557,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0
Doc558,0.01,0.01,0.01,0.33,0.01,0.17,0.01,0.01,0.26,0.17,3
Doc559,0.02,0.02,0.22,0.02,0.02,0.02,0.42,0.02,0.22,0.02,6
Doc560,0.02,0.02,0.18,0.02,0.02,0.18,0.18,0.02,0.35,0.02,8
Doc561,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.42,9
Doc562,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc563,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.34,0.34,8
Doc564,0.01,0.01,0.46,0.01,0.01,0.32,0.01,0.01,0.14,0.01,2
Doc565,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc566,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,8
Doc567,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc568,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc569,0.26,0.14,0.17,0.09,0.01,0.01,0.09,0.21,0.01,0.01,0
Doc570,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc571,0.01,0.21,0.01,0.01,0.49,0.01,0.01,0.01,0.11,0.13,4
Doc572,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc573,0.01,0.01,0.11,0.18,0.24,0.01,0.01,0.41,0.01,0.01,7
Doc574,0.15,0.01,0.01,0.01,0.38,0.01,0.25,0.01,0.01,0.16,4
Doc575,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,0.02,0.02,5
Doc576,0.02,0.22,0.02,0.22,0.02,0.02,0.02,0.42,0.02,0.02,7
Doc577,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.22,0
Doc578,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.27,0.03,7
Doc579,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc580,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.35,0.02,0.02,3
Doc581,0.02,0.02,0.02,0.02,0.63,0.02,0.24,0.02,0.02,0.02,4
Doc582,0.01,0.22,0.01,0.01,0.01,0.01,0.13,0.01,0.44,0.14,8
Doc583,0.02,0.18,0.52,0.02,0.02,0.02,0.18,0.02,0.02,0.02,2
Doc584,0.01,0.25,0.01,0.01,0.01,0.35,0.16,0.16,0.01,0.01,5
Doc585,0.31,0.01,0.01,0.31,0.01,0.01,0.31,0.01,0.01,0.01,0
Doc586,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,3
Doc587,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc588,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc589,0.02,0.35,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.35,1
Doc590,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.28,4
Doc591,0.03,0.27,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
